feature,importance
recibidos_lag1,2566
tmo (segundos),1177
week,1124
recibidos_lag2,815
recibidos_roll3,814
hour,784
recibidos_roll24,698
tmo (segundos)_roll3,637
recibidos_lag22,625
dow,591
recibidos_lag3,591
recibidos_lag21,578
hour_sin,562
hour_cos,548
tmo (segundos)_lag1,517
recibidos_lag24,510
recibidos_lag4,507
recibidos_lag20,496
recibidos_lag23,489
recibidos_lag12,470
recibidos_lag13,463
recibidos_lag10,434
recibidos_lag5,422
recibidos_lag15,413
recibidos_roll6,390
recibidos_lag14,384
recibidos_lag11,381
recibidos_lag7,379
recibidos_lag16,364
recibidos_lag19,363
recibidos_lag9,326
recibidos_lag6,310
recibidos_lag8,302
recibidos_lag18,260
month,249
recibidos_lag17,248
dow_cos,188
dow_sin,130
